Task Name,Description,Status,Priority,Tags,Módulo
"[AUTH] Login e cadastro do cliente (/entrar)","E-mail/senha + OAuth (Google, Facebook, Apple) via Supabase Auth. Role 'cliente' atribuída automaticamente via /api/auth/setup-cliente; query param redirect_to preserva a página de origem. Como testar: cadastrar e logar por cada método, verificar role 'cliente' em user_roles e retorno à página de origem.","Concluído","Normal","auth,site","01 - Autenticação & Contas"
"[AUTH] Login e cadastro do gestor (/painel/login e /painel/cadastro)","Fluxo exclusivo do painel; role 'gestor' atribuída via /api/painel/setup-role após o callback OAuth ou cadastro. Como testar: criar conta pelo painel, confirmar role 'gestor' e redirecionamento para /painel.","Concluído","Normal","auth,painel","01 - Autenticação & Contas"
"[AUTH] Login social — Google, Facebook e Apple","Três provedores configurados e em produção. Componente compartilhado SocialLoginButtons; redirect derivado de NEXT_PUBLIC_APP_URL (retorna a www.boatzy.app, não a *.vercel.app). Requer alinhamento Vercel env + Supabase Site URL + Redirect URLs. Como testar: login por cada provedor em produção e conferir domínio de retorno e foto de perfil (domínios liberados no next.config.ts).","Concluído","Normal","auth,oauth","01 - Autenticação & Contas"
"[AUTH] Multi-role por e-mail (cliente + gestor)","Um mesmo e-mail acumula múltiplas roles sem criar conta nova. Fonte da verdade: tabela user_roles (Supabase), lida direto do banco nos Server Components. Endpoints de atribuição são aditivos. Cliente que acessa /painel vê a opção 'Tornar-me gestor'. Como testar: logar como cliente, acessar /painel, tornar-se gestor e confirmar que a role de cliente permanece.","Concluído","Normal","auth,roles","01 - Autenticação & Contas"
"[AUTH] Vínculo automático de identidades (mesmo e-mail, múltiplos provedores)","Google + Facebook com e-mail verificado apontam para o mesmo auth.users.id (verificado em produção). Upserts em public.users sempre por user.id, nunca por e-mail. Como testar: logar com Google e depois Facebook usando o mesmo e-mail e conferir conta única (query em auth.identities).","Concluído","Normal","auth,oauth","01 - Autenticação & Contas"
"[AUTH] Proteção de rotas do painel (middleware + gating por role)","Middleware src/proxy.ts renova sessão e redireciona /painel/** não autenticado para /painel/login. Layout (gestao) consulta user_roles; sem role adequada exibe tela 'Acesso Restrito'. SUPABASE_SERVICE_ROLE_KEY nunca exposta ao browser. Como testar: acessar /painel deslogado, logado sem role gestor e logado com role gestor.","Concluído","Normal","auth,seguranca","01 - Autenticação & Contas"
"[AUTH] Tratar falha no vínculo de identidades (e-mail não verificado)","Edge case documentado no SPEC §12: se o provedor não verificar o e-mail, o Supabase cria um segundo auth.users e o insert em public.users viola a unicidade de e-mail — erro hoje não tratado em setup-cliente/setup-role. Definir tratamento (mensagem amigável + merge ou bloqueio).","Backlog","High","auth,bug,edge-case","01 - Autenticação & Contas"
"[BUSCA] Barra de busca inteligente (Hero Section)","LocationPicker (autocomplete de municípios com roteiros, 'Próximo de mim' via geolocalização, histórico em localStorage), DatePicker (2 meses, pt-BR, flexibilidade ±1/2/3/7 dias, datas passadas bloqueadas) e GuestPicker (contador). Submete para /buscar?municipio=&data=&flex=&pessoas=. Como testar: cada picker isoladamente + submissão com combinações de filtros.","Concluído","Normal","busca,site","02 - Busca & Descoberta"
"[BUSCA] Alternância de tipo de busca (Roteiros / Embarcações)","SearchTypeToggle na Hero e na barra compacta: Roteiros → /buscar (padrão), Embarcações → /embarcacoes. Filtros (local, data, pessoas) preservados ao alternar. Como testar: alternar as abas com filtros ativos e conferir preservação na URL.","Concluído","Normal","busca,site","02 - Busca & Descoberta"
"[BUSCA] Resultados de roteiros (/buscar)","RPC buscar_roteiros: município exato OU raio de 50 km (haversine); disponibilidade por dias de operação + bloqueios (com flex basta 1 dia livre); pessoas contra a capacidade da embarcação vinculada; ordenação por distância ou created_at; paginação server-side. Barra compacta + chips de filtros removíveis + grid responsivo 1→4 colunas. Como testar: buscas com cada filtro, roteiro sem embarcação vinculada + filtro de pessoas (não deve aparecer), paginação.","Concluído","Normal","busca,site,rpc","02 - Busca & Descoberta"
